word	meaning	count	cognate	notes
bebida	drink/beverage	5
camarera	waitress	2
carta	menu	5
cartera	wallet	5
chico	boy/young man	2
esconder	to hide	2
estresante	stressful	2
hambre	hunger	2
hombre	man	2
mochila	backpack	2
mujer	woman	2
negro	black	2
pollo	chicken	2
rojo	red	2
suelo	floor/ground	2
tarjeta	card	5
vale	ok/alright	5
verduras	vegetables	2
tengo hambre	I'm hungry	2
pago con tarjeta	I pay by card	5
¿puedo ver la carta?	can I see the menu?	5
¿qué bebida desea?	what drink would you like?	5
busco mi cartera	I'm looking for my wallet	5
¿vamos? ¡vale!	shall we go? ok!	5
es posible esconder	it's possible to hide	2
